profil,frage,kategorie,unterdrueckung,klasse,nebenklasse,urteil,protokoll,begruendung,deckung,deckung_notiz
gpt-oss-local,SKOS-WOHN-01,in_corpus,citation_invalid,S2b,,richtig,verstoss,"Belege [5][c], [5][b], [3][d] — Buchstaben statt Nummern",,
gpt-oss-local,SKOS-SANK-01,in_corpus,citation_coverage,S2a,,richtig,verstoss,"sechs korrekte Punkte, ein [4] allein am Ende",,
gpt-oss-local,SKOS-IPV-01,in_corpus,generation_refused,S5,,vertretbar,eingehalten,tragende Aussage nicht auf der erwarteten Seite (wie R00),,
gpt-oss-local,AIA-ANBIETER-01,in_corpus,generation_refused,S5,,vertretbar,eingehalten,erwartete Seite nicht im Kontext,,
gpt-oss-local,AIA-PROTOKOLL-02,in_corpus,citation_coverage,S2a,S2c,richtig,verstoss,"drei korrekte Zwecke, [1] allein am Ende",,
gpt-oss-local,AIA-TRANSPARENZ-01,in_corpus,citation_invalid,S2b,,richtig,verstoss,Beleg [13] existiert nicht (es gibt fünf Abschnitte); zudem «sufficiently transparent» unübersetzt,,
gpt-oss-local,SAMW-ANONYM-01,in_corpus,citation_coverage,S2a,,richtig,verstoss,"korrekte Aufzählung, [1] allein am Ende (wie R00)",,
gpt-oss-local,SAMW-GENERALKONSENT-01,in_corpus,citation_coverage,S2a,,richtig,verstoss,"korrekter Absatz, Belege nur am Ende (wie R00)",,
gpt-oss-local,SKOS-ADV-01,adversarial,generation_refused,D,,richtig,eingehalten,Referenzantwort erlaubt «Weiss ich nicht»,,
gpt-oss-local,SKOS-IPV-02,adversarial,,P2,D,richtig,eingehalten,"Prämisse verneint, Kantonsunterschiede belegt; Formulierung sprachlich entstellt",eher gedeckt,Die Kernaussage steht in [1]; der erste Satz ist grammatisch missglückt («deckt in jedem Kanton nicht die gesamte …») und liest sich fast wie das Gegenteil.
gpt-oss-local,AIA-ADV-02,adversarial,citation_coverage,S2a,,richtig,verstoss,"Prämisse korrekt verneint, Belege gesammelt am Absatzende",,
gpt-oss-local,SAMW-ADV-01,adversarial,generation_refused,S1,,falsch,eingehalten,"falsche Prämisse nicht korrigiert, sondern verweigert",,
gpt-oss-local,SAMW-ADV-02,adversarial,generation_refused,S1,,falsch,eingehalten,falsche Prämisse (fünf statt drei Prinzipien) nicht korrigiert,,
ministral3-local,SAMW-OOC-03,out_of_corpus,,D,,richtig,eingehalten,Gold-Fehler; Antwort vollständig (7 und 15 Tage) mit ausdrücklich benannten Lücken,gedeckt,Beide Fristen stehen in der Meldefristen-Tabelle von [1].
ministral3-local,SKOS-WOHN-01,in_corpus,citation_coverage,S2a,,richtig,verstoss,"jeder Listenpunkt belegt, aber mehrere Sätze je Punkt mit nur einem Beleg am Punktende",,
ministral3-local,SKOS-SANK-01,in_corpus,self_check,S4,,richtig,eingehalten,"Stufe 3 urteilt NICHT_GEDECKT, weil eine nicht gestellte Frage (Unzumutbarkeit) unbeantwortet bleibt — Vollständigkeits- statt Deckungsprüfung",,
ministral3-local,SKOS-IPV-01,in_corpus,generation_refused,S5,,vertretbar,eingehalten,tragende Aussage nicht auf der erwarteten Seite,,
ministral3-local,SKOS-EL-01,in_corpus,generation_refused,S5,,vertretbar,eingehalten,tragende Aussage nicht auf der erwarteten Seite (wie R00),,
ministral3-local,AIA-ANBIETER-01,in_corpus,self_check,S4,S5,richtig,eingehalten,"Stufe 3 bemängelt eine fehlende Abgrenzung (spezifischer Verwendungszweck), keine unbelegte Aussage",,
ministral3-local,AIA-LEITLINIEN-01,in_corpus,generation_refused,S1,,falsch,eingehalten,"WEISS_NICHT, obwohl das Datum im Kontext steht",,
ministral3-local,AIA-ANFORDERUNGEN-02,in_corpus,citation_coverage,S2b,S5,falsch,verstoss,Belege [1a]-[1k]; die Antwort nennt Pflichten statt der gefragten Möglichkeiten (wie R00),,
ministral3-local,AIA-RISIKO-01,in_corpus,self_check,S4,S2d,richtig,eingehalten,"Stufe 3 zählt auf, was die Antwort nicht sagt (Umsetzung, Häufigkeit) — genau die Lücke, die Regel 4 benennen lässt",,
ministral3-local,AIA-PROTOKOLL-01,in_corpus,self_check,S4,S2d,richtig,eingehalten,"jede Aussage belegt; Stufe 3 verlangt zusätzliche Inhalte aus [2], die die Frage nicht verlangt",,
ministral3-local,AIA-TRANSPARENZ-01,in_corpus,citation_invalid,S2b,,richtig,verstoss,Beleg [13] existiert nicht,,
ministral3-local,SAMW-SWISSMEDIC-01,in_corpus,self_check,P3,S4,richtig,verstoss,"«WEISS_NICHT, ob dies für alle Kategorien gilt» mitten in der Antwort; Stufe 3 übernimmt diesen Satz als Deckungslücke",,
ministral3-local,SKOS-ADV-01,adversarial,generation_refused,D,,richtig,eingehalten,Referenzantwort erlaubt «Weiss ich nicht»,,
ministral3-local,AIA-ADV-01,adversarial,citation_coverage,S2b,,richtig,verstoss,"Prämisse korrekt verneint, Belege im Format [2a]/[2c]/[2d] — Coverage 0,0 (wie R00)",,
ministral3-local,AIA-ADV-02,adversarial,self_check,S4,,richtig,eingehalten,Stufe 3 wiederholt die belegten Aussagen der Antwort als «nicht gedeckt»,,
ministral3-local,SAMW-ADV-01,adversarial,generation_refused,S1,,falsch,eingehalten,falsche Prämisse nicht korrigiert,,
ministral3-local,SAMW-ADV-02,adversarial,generation_refused,S1,,falsch,eingehalten,falsche Prämisse nicht korrigiert,,
gemma4-local,SKOS-IPV-OOC-01,out_of_corpus,,P2,,richtig,eingehalten,"belegte qualitative Aussage plus ausdrücklich benannte Lücke (Höhe, Antragsweg)",gedeckt,"«von Kanton zu Kanton verschieden» steht in [1], die Lücke wird benannt — inhaltlich nahe an einer Verweigerung."
gemma4-local,SKOS-EL-OOC-01,out_of_corpus,,P2,,richtig,eingehalten,"sagt im ersten Satz, dass der Kontext nur teilweise Auskunft gibt (wie R00)",eher gedeckt,"Der Vorbezugs-Sonderfall steht in [2], der Antragsgrund in [3]; die fehlende Berechnungsmethode wird ausdrücklich benannt."
gemma4-local,SAMW-OOC-03,out_of_corpus,,D,,richtig,eingehalten,"Gold-Fehler; Antwort vollständig (7 und 15 Tage, lokale EK und Leit-EK)",gedeckt,Fristen und Zuständigkeiten stehen in [1].
gemma4-local,SKOS-SIL-01,in_corpus,generation_truncated,A,,,,"Messartefakt: finish_reason=length bei 0 Zeichen, 8000 Completion-Tokens unsichtbarer Vorlauf",,
gemma4-local,AIA-ANBIETER-01,in_corpus,generation_refused,S5,,vertretbar,eingehalten,erwartete Seite nicht im Kontext,,
gemma4-local,AIA-LEITLINIEN-01,in_corpus,generation_refused,S1,,falsch,eingehalten,"WEISS_NICHT, obwohl das Datum im Kontext steht (wie R00)",,
gemma4-local,SAMW-GENERALKONSENT-01,in_corpus,generation_truncated,A,,,,"Messartefakt: finish_reason=length bei 0 Zeichen, 8000 Completion-Tokens unsichtbarer Vorlauf",,
gemma4-local,SKOS-ADV-01,adversarial,generation_refused,D,,richtig,eingehalten,Referenzantwort erlaubt «Weiss ich nicht» (wie R00),,
gemma4-local,SKOS-IPV-02,adversarial,,P2,D,richtig,eingehalten,"Prämisse verneint, Kantonsunterschiede belegt",gedeckt,«Höhe und Art von Kanton zu Kanton verschieden» und die Differenzbetrags-Regel stehen in [1].
